Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Approval),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Train Kira on Raman,KDP-2002,22559,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,07/Apr/26 9:46 AM,22/Apr/26 12:53 PM,,22/Apr/26 12:53 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba9ea61,,,,,0|i009ku:2,KDP Sprint 32,,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,22/Apr/26 12:53 PM
Put together IR&D Project Budgets for Tawny,KDP-2001,22526,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,06/Apr/26 1:42 PM,24/Apr/26 1:29 PM,,24/Apr/26 1:29 PM,,0,,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18c486c1,,,,,0|i00abm:x1,KDP Sprint 32,,,,,,,,,,,,,,,,,23054,KDP-2081,IR Decoy - D2 - Implement electrical control system in reduced scale prototype,Done,24/Apr/26 1:29 PM
Assist Bob and Tony with mixing paint formulations,KDP-2000,22525,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,06/Apr/26 1:23 PM,27/Apr/26 10:09 AM,16/Apr/26 10:57 AM,,,0,ongoing,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@407b1790,,,,,0|i009jg:zti,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,27/Apr/26 10:09 AM
Wiring inputs and outputs on CVD DAQ enclosure,KDP-1999,22524,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,06/Apr/26 1:23 PM,27/Apr/26 5:03 PM,,,,0,ongoing,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65680168,,,,,0|i009je:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),In Progress,27/Apr/26 5:03 PM
🐢 Train on CVD catalyst preparation,KDP-1998,22491,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,06/Apr/26 12:46 PM,20/Apr/26 1:37 PM,,20/Apr/26 1:37 PM,,0,carryover,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16352e95,,,,,0|i009jg:zsm,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,20/Apr/26 1:37 PM
🐢 Get trained on Raman and FTIR,KDP-1975,22276,Task,Review,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,31/Mar/26 12:05 PM,27/Apr/26 12:20 PM,,,,0,,,,Kira Schulz,,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@657fde20,,,,,0|i00bgd:,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,22/Apr/26 11:51 AM;712020:1812938a-5123-4043-b2fa-7ca5353d364d;Training has turned into troubleshooting with Bob and Fan.,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),In Progress,27/Apr/26 12:20 PM
🐢 🐢 Mix Carbonyl Iron ERDC test formulations from Tony,KDP-1974,22243,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,31/Mar/26 9:35 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a2eb662,,,,,0|i00bbp:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,31/Mar/26 9:35 AM
🐢 🐢 Mix Nickel Flake ERDC test formulations from Tony,KDP-1973,22242,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,31/Mar/26 9:35 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12d98fe4,,,,,0|i00bbh:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,31/Mar/26 9:35 AM
🐢 🐢 Mix Conductive Carbon Black ERDC test formulations from Tony,KDP-1972,22241,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,31/Mar/26 9:35 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9ccce23,,,,,0|i00bb9:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,31/Mar/26 9:35 AM
🐢 🐢 Mix Carbon Black ERDC test formulations from Tony,KDP-1971,22240,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,31/Mar/26 9:35 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16ddf6d6,,,,,0|i00bb1:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,31/Mar/26 9:35 AM
🐢 🐢 Mix Graphite ERDC test formulations from Tony,KDP-1970,22239,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,31/Mar/26 9:34 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Bob Dawson,,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6cae740a,,,,,0|i00bat:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,31/Mar/26 9:34 AM
🐢 Assist in ERDC Annual Report,KDP-1962,22167,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Highest,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 10:42 AM,15/Apr/26 11:59 AM,,15/Apr/26 11:59 AM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c0383e2,,,,,0|i009kt:,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),Done,15/Apr/26 11:59 AM
Work on Shelf organization,KDP-1959,22164,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 10:16 AM,27/Apr/26 9:45 AM,16/Apr/26 10:57 AM,,,0,ongoing,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d8425cc,,,,,0|i009jg:x,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,In Progress,01/Apr/26 5:03 PM
🐢 Finalize ERDC Annual Report,KDP-1957,22162,Task,In Progress,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Joshua Riley,712020:b37d4c48-1047-4e51-aa36-9f4735ff95c2,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 10:02 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50988144,,,,,0|i00bsx:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,,,,In Progress,22/Apr/26 7:00 PM
🐢 Test New DC ink formulations,KDP-1956,22161,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:59 AM,24/Apr/26 2:31 PM,,24/Apr/26 2:31 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@da0df0a,,,,,0|i009ku:4i,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,16718,KDP-1345,Dynamic Camo,Done,24/Apr/26 2:31 PM
🐢 Assessment of Update CVD furnace functionality,KDP-1955,22160,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:59 AM,21/Apr/26 2:53 PM,,21/Apr/26 2:53 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69becabe,,,,,0|i009ku:,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,21/Apr/26 2:53 PM
🐢 Develop schedule for CVD testing,KDP-1954,22159,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Fan Yang,712020:e1b59307-c67e-498d-ab47-8f321dbac8c9,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:58 AM,21/Apr/26 2:53 PM,,21/Apr/26 2:53 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@648a615e,,,,,0|i009kt:i,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,21868,KDP-1919,ERDC D10: Improved carbon nanomaterial production and characterization (due 7/16/2026),Done,21/Apr/26 2:53 PM
🐢 Assist in ERDC II Annual Report,KDP-1952,22157,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Caleb Garnica,712020:925cddb1-7e5d-47d0-bbc8-76ea7a6d92b3,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:56 AM,21/Apr/26 11:08 AM,,21/Apr/26 11:08 AM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28b872cf,,,,,0|i00b7z:,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),Done,21/Apr/26 11:08 AM
🐢 🐢 Assist in ERDC II Annual Report,KDP-1950,22155,Task,To Do,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Bob Dawson,712020:ff7d16f1-182a-464f-a0d4-7b84c4940d87,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:56 AM,27/Apr/26 9:45 AM,,,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c1f6720,,,,,0|i00b6t:,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),To Do,30/Mar/26 9:56 AM
🐢 Assist in ERDC Annual Report,KDP-1949,22154,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Brandon G,712020:a91169b6-cfe5-4669-9aef-236f054c1307,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:55 AM,21/Apr/26 11:35 AM,,21/Apr/26 11:35 AM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5919f6f0,,,,,0|i009n9:i,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,15703,KDP-1144,ERDC D8: Produce Improved composite systems (Due 4/16/2026),Done,21/Apr/26 11:35 AM
🐢 Test ERDC Wax Formulations on VNA - CNT,KDP-1947,22152,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Brandon G,712020:a91169b6-cfe5-4669-9aef-236f054c1307,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,30/Mar/26 9:54 AM,16/Apr/26 1:28 PM,,16/Apr/26 1:28 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60e4c4e5,,,,,0|i009n9:,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),Done,16/Apr/26 1:28 PM
🐢 Test conductivity of heater material,KDP-1945,22118,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,High,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,27/Mar/26 4:55 PM,27/Apr/26 9:00 AM,,27/Apr/26 9:00 AM,,0,carryover,Tony - 1 hr,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30f407a8,,,,,0|i00abm:x04,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,,23053,KDP-2080,IR Decoy - D1 - Reduced Scale Prototype Tarp Manufactured with no electrical controls,Done,27/Apr/26 9:00 AM
Test Conductivity of silver nanofiber samples,KDP-1944,22117,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,27/Mar/26 4:55 PM,24/Apr/26 2:46 PM,,24/Apr/26 2:46 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e36b83c,,,,,0|i00abm:x09,KDP Sprint 32,,,,,,,,,,,,,,,,,16718,KDP-1345,Dynamic Camo,Done,24/Apr/26 2:46 PM
KIP new feature - match with past awardees - fix output,KDP-1925,21938,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,23/Mar/26 2:26 PM,15/Apr/26 4:58 PM,25/Mar/26 1:52 PM,15/Apr/26 4:58 PM,,0,,,,Jayden Zundel,,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b863058,,,,,0|i00bsf:,KDP Sprint 32,,,,,,,,,,,,,,,,,15839,KDP-1190,Business Development,Done,15/Apr/26 4:58 PM
🐢 Training/ Learning to use the environmental testing equipment,KDP-1917,21802,Task,Done,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,Done,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,20/Mar/26 10:19 AM,21/Apr/26 3:57 PM,01/Apr/26 10:26 AM,21/Apr/26 3:57 PM,,0,carryover,,,Anthony Pearson,,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@486b17d0,,,,,0|i009jg:zsk,KDP Sprint 30,KDP Sprint 31,KDP Sprint 32,,,,,,,,,,,,,,,15704,KDP-1145,ERDC D9: Improved produced coatings (Due 5/21/2026),Done,21/Apr/26 3:57 PM
🐢 Organize table tops in lab,KDP-1909,21762,Task,Review,KDP,Kenai Defense Task Planning,software,Jayden Zundel,712020:b53bfe0d-cd97-478a-a25f-48e9d7e914f4,,Medium,,Kira Schulz,712020:1812938a-5123-4043-b2fa-7ca5353d364d,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,Anthony Pearson,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,19/Mar/26 3:58 PM,27/Apr/26 12:21 PM,01/Apr/26 10:26 AM,,,0,carryover,,,Anthony Pearson,Kira Schulz,712020:d8425d4b-bd8f-4cd0-b0df-eefcbff55b00,712020:1812938a-5123-4043-b2fa-7ca5353d364d,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30092e4e,,,,,0|i00bgh:,KDP Sprint 30,KDP Sprint 31,KDP Sprint 32,KDP Sprint 33,,,,,,,,27/Apr/26 12:21 PM;712020:1812938a-5123-4043-b2fa-7ca5353d364d;I don’t think I can do this without reducing productivity by moving ongoing projects around. Can we say that organizing the shelves has improved bench top cleanliness and that’s good enough?,,,,,,,,,In Progress,27/Apr/26 12:20 PM
